entry_bar,exit_bar,entry_time,exit_time,side,pnl
0,224,2018-11-22T14:25,2018-11-28T09:05,1,-168.24923211932764
660,944,2018-12-06T09:25,2018-12-12T09:05,1,246.3331870703405
1448,1664,2018-12-21T09:05,2018-12-26T09:05,1,455.0870264736295
1878,2096,2018-12-28T14:55,2019-01-07T09:05,1,357.1639608015248
2384,2769,2019-01-11T09:05,2019-01-18T11:10,-1,70.23255813957076
2816,2960,2019-01-21T09:05,2019-01-23T09:05,-1,20.17405294722994
3176,3753,2019-01-28T09:05,2019-02-14T09:10,1,351.569401784378
3889,4112,2019-02-15T14:30,2019-02-21T09:05,1,516.115255228884
4472,4829,2019-02-28T09:05,2019-03-06T14:50,-1,789.2979376919975
5426,5624,2019-03-19T10:35,2019-03-22T09:05,1,9.094632148568053
5696,5912,2019-03-25T09:05,2019-03-28T09:05,1,-13.832090098032495
5984,6229,2019-03-29T09:05,2019-04-03T11:30,-1,27.889425186498556
6707,6992,2019-04-15T09:20,2019-04-19T09:05,-1,381.8458388181898
7445,7569,2019-04-29T10:50,2019-05-06T09:10,1,164.79157525229675
7784,8082,2019-05-09T09:05,2019-05-15T09:55,1,1108.8825508264708
8936,9225,2019-05-31T09:05,2019-06-06T09:10,1,1249.1487494515168
9285,9355,2019-06-06T14:10,2019-06-10T14:00,1,-126.19862512798863
9498,9515,2019-06-12T13:55,2019-06-13T09:20,1,-97.56764662863861
9584,9656,2019-06-14T09:05,2019-06-17T09:05,1,418.44814977329224
9872,9873,2019-06-20T09:05,2019-06-20T09:10,1,655.3576129881549
9954,10002,2019-06-21T09:55,2019-06-21T13:55,1,148.84891034077737
10016,10084,2019-06-24T09:05,2019-06-24T14:45,1,-107.73292379693885
10088,10142,2019-06-25T09:05,2019-06-25T13:35,1,597.4740383209137
10520,10531,2019-07-03T09:05,2019-07-03T10:00,1,-163.4591194968525
11312,11325,2019-07-18T09:05,2019-07-18T10:10,1,-183.6799765979522
