entry_bar,exit_bar,entry_time,exit_time,side,pnl
10000,10224,2018-11-22T14:25,2018-11-28T09:05,1,-1150.2850000000471
10660,10944,2018-12-06T09:25,2018-12-12T09:05,1,1684.1800000000076
11448,11664,2018-12-21T09:05,2018-12-26T09:05,1,3111.430000000051
11878,12096,2018-12-28T14:55,2019-01-07T09:05,1,2441.930000000051
12384,12769,2019-01-11T09:05,2019-01-18T11:10,-1,480.1800000000949
12816,12960,2019-01-21T09:05,2019-01-23T09:05,-1,137.93000000002212
13176,13753,2019-01-28T09:05,2019-02-14T09:10,1,2403.680000000051
13889,14112,2019-02-15T14:30,2019-02-21T09:05,1,3528.679999999993
14472,14829,2019-02-28T09:05,2019-03-06T14:50,-1,5396.430000000051
15426,15624,2019-03-19T10:35,2019-03-22T09:05,1,62.18000000002212
15696,15912,2019-03-25T09:05,2019-03-28T09:05,1,-94.57000000005064
15984,16229,2019-03-29T09:05,2019-04-03T11:30,-1,190.67999999999302
16707,16992,2019-04-15T09:20,2019-04-19T09:05,-1,2610.680000000095
17445,17569,2019-04-29T10:50,2019-05-06T09:10,1,1126.6799999999494
17784,18082,2019-05-09T09:05,2019-05-15T09:55,1,7581.429999999993
18936,19225,2019-05-31T09:05,2019-06-06T09:10,1,8540.430000000051
19285,19355,2019-06-06T14:10,2019-06-10T14:00,1,-862.8199999999488
19498,19515,2019-06-12T13:55,2019-06-13T09:20,1,-667.070000000007
19584,19656,2019-06-14T09:05,2019-06-17T09:05,1,2860.930000000051
19872,19873,2019-06-20T09:05,2019-06-20T09:10,1,4480.679999999993
19954,20002,2019-06-21T09:55,2019-06-21T13:55,1,1017.679999999993
20016,20084,2019-06-24T09:05,2019-06-24T14:45,1,-736.5699999998906
20088,20142,2019-06-25T09:05,2019-06-25T13:35,1,4084.929999999993
20520,20531,2019-07-03T09:05,2019-07-03T10:00,1,-1117.570000000007
21312,21325,2019-07-18T09:05,2019-07-18T10:10,1,-1255.820000000036
21384,21453,2019-07-19T09:05,2019-07-19T14:50,1,1926.4300000000221
22032,22036,2019-08-01T09:05,2019-08-01T09:25,-1,-131.81999999994878
22104,22106,2019-08-02T09:05,2019-08-02T09:15,1,167.43000000002212
22176,22189,2019-08-05T09:05,2019-08-05T10:10,1,5581.179999999993
22201,22249,2019-08-05T11:10,2019-08-06T09:10,1,4301.179999999993
22323,22330,2019-08-07T09:20,2019-08-07T09:55,1,1435.429999999993
22386,22396,2019-08-07T14:35,2019-08-08T09:25,1,2961.9300000000803
22488,22529,2019-08-09T11:05,2019-08-09T14:30,1,-1588.820000000007
22608,22680,2019-08-13T09:05,2019-08-14T09:05,1,3385.429999999993
