entry_bar,exit_bar,entry_time,exit_time,side,pnl
3258,3259,2022-10-10T09:05,2022-10-10T09:10,1,2232.830000000031
4842,5046,2022-11-09T09:05,2022-11-11T14:05,1,9952.83000000003
6066,6138,2022-12-02T09:05,2022-12-05T09:05,1,-693.9700000000448
7002,7146,2022-12-21T09:05,2022-12-23T09:05,1,-740.5699999999488
7578,7583,2023-01-03T09:05,2023-01-03T09:30,1,-1383.9700000000448
7650,7793,2023-01-04T09:05,2023-01-05T15:00,1,523.0299999999697
8065,8082,2023-01-11T13:40,2023-01-12T09:05,1,-1778.4699999999575
8154,8294,2023-01-13T09:05,2023-01-16T14:45,1,2080.6300000000338
8308,8424,2023-01-17T09:55,2023-01-18T13:35,1,-1681.4700000000594
8501,8586,2023-01-19T14:00,2023-01-30T09:05,1,2236.729999999996
8802,8874,2023-02-02T09:05,2023-02-03T09:05,1,-610.8699999999808
8946,9306,2023-02-06T09:05,2023-02-13T09:05,-1,5047.8300000000745
10170,10530,2023-03-01T09:05,2023-03-08T09:05,1,3819.829999999958
10746,10815,2023-03-13T09:05,2023-03-13T14:50,1,1461.9300000000658
10818,11178,2023-03-14T09:05,2023-03-21T09:05,1,20110.230000000025
11970,12114,2023-04-06T09:05,2023-04-10T09:05,1,3760.5299999999843
12265,12330,2023-04-12T09:40,2023-04-13T09:05,1,29.130000000004657
12402,12457,2023-04-14T09:05,2023-04-14T13:40,1,555.0300000000279
12828,12906,2023-04-21T14:35,2023-04-25T09:05,-1,-724.1699999998964
13194,13198,2023-05-04T09:05,2023-05-04T09:25,1,8229.430000000022
13842,14058,2023-05-17T09:05,2023-05-22T09:05,-1,1572.929999999964
14562,14778,2023-05-31T09:05,2023-06-05T09:05,1,2942.929999999964
15264,15282,2023-06-13T13:35,2023-06-14T09:05,1,-1879.0699999999779
15425,15426,2023-06-15T15:00,2023-06-16T09:05,-1,-2104.9699999999866
15858,16005,2023-06-28T09:05,2023-06-30T09:20,-1,-1943.469999999943
16274,16362,2023-07-05T13:45,2023-07-07T09:05,1,-2264.4700000000885
16453,16781,2023-07-10T10:40,2023-07-14T14:00,1,2232.929999999964
16920,17082,2023-07-18T13:35,2023-07-21T09:05,1,4399.330000000104
17521,17592,2023-07-31T09:40,2023-08-01T09:35,-1,-2042.6699999998818
17730,17874,2023-08-03T09:05,2023-08-07T09:05,-1,-453.5699999999342
18090,18228,2023-08-10T09:05,2023-08-11T14:35,-1,-1630.3699999998935
18383,18587,2023-08-16T09:30,2023-08-18T14:30,1,-2209.2700000000477
18742,18954,2023-08-23T09:25,2023-08-28T09:05,1,715.6300000000629
19052,19386,2023-08-29T11:15,2023-09-05T09:05,1,2909.430000000022
19602,19965,2023-09-08T09:05,2023-09-15T09:20,1,11738.729999999865
20596,20623,2023-09-27T13:55,2023-09-28T10:10,-1,4383.530000000057
