entry_bar,exit_bar,entry_time,exit_time,side,pnl
570,577,2012-01-17T08:25,2012-01-17T09:00,1,1052.550000000003
684,690,2012-01-19T08:25,2012-01-19T08:55,1,-437.9250000000029
798,799,2012-01-23T08:25,2012-01-23T08:30,1,253.125
818,845,2012-01-23T10:05,2012-01-23T12:20,1,89.97500000000582
963,967,2012-01-25T12:40,2012-01-25T13:00,1,295.7749999999942
969,994,2012-01-26T08:25,2012-01-26T10:30,1,1450.7500000000146
1070,1083,2012-01-27T12:05,2012-01-30T08:25,1,-414.9499999999971
1143,1160,2012-01-31T08:40,2012-01-31T10:05,1,-445.5
1275,1300,2012-02-02T10:10,2012-02-02T12:15,1,-261.9750000000058
1313,1315,2012-02-03T08:35,2012-02-03T08:45,1,-437.5749999999971
1453,1510,2012-02-07T10:45,2012-02-08T10:45,1,825.4749999999913
1537,1541,2012-02-08T13:00,2012-02-09T08:35,1,-405.32500000001164
1551,1589,2012-02-09T09:25,2012-02-09T12:35,1,-331.50000000001455
1995,1996,2012-02-21T08:25,2012-02-21T08:30,1,20.54999999998836
2018,2121,2012-02-21T10:20,2012-02-23T09:25,1,1952.874999999971
2350,2357,2012-02-29T09:30,2012-02-29T10:05,1,-457.74999999998545
3262,3272,2012-03-22T09:30,2012-03-22T10:20,-1,-448.99999999998545
3781,3786,2012-04-04T10:00,2012-04-04T10:25,-1,-522.4800000000105
3805,3837,2012-04-04T12:00,2012-04-05T09:55,-1,-449.8000000000029
3958,3983,2012-04-10T10:30,2012-04-10T12:35,-1,-396.72000000000116
4046,4066,2012-04-11T13:05,2012-04-12T10:00,-1,-691.0
4161,4249,2012-04-16T08:25,2012-04-17T11:00,-1,-55.23999999996158
4446,4560,2012-04-23T08:25,2012-04-25T08:25,-1,328.5200000000041
4610,4617,2012-04-25T12:35,2012-04-26T08:25,-1,-580.0
4922,4976,2012-05-03T10:05,2012-05-04T09:50,-1,71.63999999999942
4988,5015,2012-05-04T10:50,2012-05-04T13:05,-1,-516.4399999999732
5073,5271,2012-05-08T08:25,2012-05-11T10:40,-1,2247.399999999994
5301,5360,2012-05-14T08:25,2012-05-15T08:35,-1,245.1600000000035
