q_label,is_lo,is_hi,os_lo,os_hi,best_L,best_S,is_profit,is_dd,is_npdd,is_trades,os_profit,os_dd,os_trades
2012Q1,3648,62515,62516,66163,1240,0.005,81192.02500000066,-2820.2000000000116,28.789456421530506,344.0,2299.574999999968,-2180.0500000000466,17.0
2012Q2,7239,66163,66164,69811,1990,0.008,59815.959999999846,-2717.7200000000303,22.009610997453446,170.0,-1104.1199999999371,-2830.5199999999604,16.0
2012Q3,10944,69811,69812,73516,3870,0.013,49932.505000000354,-3032.835000000021,16.46397017971634,83.0,6535.574999999924,-1448.0400000000227,4.0
2012Q4,14706,73516,73517,77221,570,0.008,65036.99999999968,-5003.280000000028,12.998872739482763,304.0,5018.439999999988,-1710.2799999999843,13.0
2013Q1,18398,77221,77222,80755,570,0.008,65064.719999999914,-5003.279999999984,13.004413105003142,287.0,2841.960000000181,-2988.279999999897,15.0
2013Q2,21989,80755,80756,84460,520,0.008,66136.3199999998,-4932.520000000004,13.408221355412598,292.0,4167.359999999928,-2852.1199999999953,23.0
2013Q3,25637,84460,84461,88222,510,0.008,65153.5199999999,-5095.51999999996,12.786432003014493,301.0,1189.9200000000274,-2365.679999999964,17.0
2013Q4,29399,88222,88223,91927,510,0.008,59956.87999999992,-5095.51999999996,11.766587119665978,300.0,237.47999999999593,-3529.79999999993,20.0
2014Q1,33104,91927,91928,95518,510,0.017,80876.29500000022,-5987.18499999991,13.508233836101846,142.0,6417.604999999952,-2568.0999999999913,6.0
2014Q2,36695,95518,95519,99165,510,0.017,87022.59500000026,-5987.18499999991,14.53480976452232,136.0,-1291.484999999855,-3554.5149999999267,8.5
2014Q3,40343,99165,99166,102925,510,0.017,78650.8600000004,-5987.18499999991,13.13653411411232,135.5,5660.385000000053,-3840.614999999947,4.5
2014Q4,44105,102925,102926,106629,510,0.017,80884.93000000031,-5987.18499999991,13.509676083167887,132.5,1980.829999999958,-3125.514999999941,7.5
2015Q1,47810,106629,106630,110218,510,0.017,73925.11000000054,-5987.18499999991,12.3472232777176,133.5,4315.27499999998,-2030.0299999999552,7.0
2015Q2,51458,110218,110219,113865,570,0.009,64744.29000000114,-3903.029999999955,16.588212235110127,229.0,-2070.5199999999895,-2659.4999999999563,14.0
2015Q3,55106,113865,113866,117625,500,0.013,72544.5450000006,-3760.764999999854,19.289837307038173,169.0,-896.9849999999133,-2248.0749999999825,17.0
2015Q4,58868,117625,117626,121329,610,0.01,52140.40000000034,-3127.5500000000466,16.671324199453107,194.0,92.94999999998254,-2675.550000000003,22.0
2016Q1,62516,121329,121330,124918,610,0.01,45489.3500000003,-3127.5500000000466,14.544723505619293,199.0,284.99999999998545,-1997.8499999999913,18.0
2016Q2,66164,124918,124919,128622,570,0.013,48800.40500000093,-3453.079999999929,14.132428151100447,163.0,3030.8350000000355,-1653.8749999999854,11.5
2016Q3,69812,128622,128623,132382,500,0.011,49305.24000000089,-3388.2899999999063,14.551658801342937,203.5,134.7000000000844,-2727.905000000028,21.0
2016Q4,73517,132382,132383,136029,500,0.011,41143.75500000117,-3388.2899999999063,12.142926077756718,214.0,1623.6850000000268,-1946.6850000000122,18.0
2017Q1,77222,136029,136030,139675,530,0.017,46528.520000000746,-4186.169999999984,11.114818557297225,141.0,-1662.3799999999756,-5005.819999999992,12.5
2017Q2,80756,139675,139676,143322,500,0.009,31874.140000000683,-3590.4099999999453,8.877576655591191,268.0,-2609.6600000000035,-3942.784999999989,17.0
2017Q3,84461,143322,143323,147025,540,0.012,22142.159999999814,-4912.880000000019,4.506961293579271,203.0,953.0400000000081,-2334.479999999996,12.5
2017Q4,88223,147025,147026,150672,530,0.014,27162.839999999822,-7896.620000000024,3.4398058916346157,174.5,-2248.729999999996,-5471.050000000003,11.5
2018Q1,91928,150672,150673,154261,500,0.014,21598.429999999862,-8175.740000000034,2.6417706531763208,181.5,3860.12000000001,-1871.409999999989,7.5
2018Q2,95519,154261,154262,157965,3340,0.014,11960.049999999901,-3792.2600000001403,3.1538053825421937,63.5,-171.6600000000035,-1560.3500000000058,5.5
2018Q3,99166,157965,157966,161668,3340,0.014,12628.84999999989,-3792.2600000001403,3.3301645984187322,67.5,2547.459999999992,-965.7700000000041,3.0
2018Q4,102926,161668,161669,165372,3340,0.014,9449.059999999896,-3792.2600000001403,2.4916698749557114,69.0,-1209.820000000007,-2029.8100000000122,5.0
2019Q1,106630,165372,165373,168961,1030,0.048,17721.439999999697,-7934.640000000014,2.233427099402073,41.5,-4491.640000000014,-5916.880000000005,4.0
2019Q2,110219,168961,168962,172608,3560,0.014,7466.259999999922,-3689.0399999999936,2.023903237698679,62.0,100.25999999999476,-1443.8899999999994,4.0
2019Q3,113866,172608,172609,176368,3560,0.014,8805.629999999946,-3689.0399999999936,2.3869705939756583,63.0,2776.7499999999854,-1399.2400000000052,3.0
2019Q4,117626,176368,176369,180072,3560,0.014,9800.609999999928,-3689.0399999999936,2.6566830394899337,59.0,-103.94000000000233,-892.4499999999971,2.0
2020Q1,121330,180072,180073,183718,3560,0.014,11081.559999999925,-3689.0399999999936,3.003914297486594,54.0,6916.809999999969,-1807.2099999999919,16.0
2020Q2,124919,183718,183719,187365,3560,0.014,16353.999999999913,-3689.0399999999936,4.433131654847858,65.0,0.0,0.0,0.0
2020Q3,128623,187365,187366,191125,1790,0.045,22086.650000000198,-5542.899999999907,3.9846740875715905,35.0,-815.2749999999796,-6864.349999999991,5.0
2020Q4,132383,191125,191126,194829,3340,0.014,12931.169999999882,-3707.1100000000297,3.488207795290611,69.0,3564.359999999957,-724.1699999999983,2.0
2021Q1,136030,194829,194830,198418,1870,0.027,27941.745000000024,-3922.779999999999,7.122944697382986,51.0,3945.6950000000506,-2109.2900000000227,4.0
2021Q2,139676,198418,198419,202065,1900,0.019,33896.71999999997,-3778.524999999994,8.970886787833884,68.0,-2023.6049999999086,-4578.804999999949,8.0
2021Q3,143323,202065,202066,205825,8250,0.013,17266.19000000003,-1928.8349999999773,8.951615871756907,35.0,1656.445000000036,-2535.364999999976,7.0
2021Q4,147026,205825,205826,209529,3140,0.014,26577.349999999962,-2988.380000000019,8.893564406133018,74.0,-1185.3299999999726,-2142.5700000000215,6.0
